user_id,label
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,1
302,1
303,1
304,0
305,0
306,0
307,1
308,1
309,1
310,0
311,1
312,1
313,1
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,1
322,1
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,0
336,0
337,0
338,1
339,1
340,0
341,0
342,1
343,1
344,1
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,1
378,1
379,0
380,0
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,1
486,1
487,0
488,0
489,1
490,0
491,1
492,0
493,1
494,1
495,0
496,1
497,1
498,0
499,0
500,0
501,0
502,0
503,1
504,1
505,0
506,0
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,0
520,1
521,0
522,0
523,1
524,0
525,0
526,1
527,0
528,1
529,1
530,1
531,0
532,0
533,1
534,1
535,0
536,1
537,1
538,0
539,0
540,0
541,0
542,1
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,1
551,1
552,0
553,0
554,0
555,0
556,0
557,0
558,1
559,1
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,0
568,0
569,1
570,1
571,0
572,0
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,0
598,1
599,0
600,1
601,1
602,0
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,1
614,1
615,1
616,1
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,0
632,1
633,0
634,1
635,0
636,0
637,0
638,1
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,0
649,1
650,0
651,1
652,0
653,0
654,0
655,0
656,1
657,0
658,1
659,0
660,0
661,1
662,1
663,1
664,1
665,0
666,1
667,0
668,0
669,0
670,1
671,0
672,1
673,1
674,0
675,1
676,0
677,0
678,1
679,1
680,1
681,0
682,1
683,0
684,0
685,1
686,1
687,1
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,0
707,0
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,0
719,0
720,0
721,1
722,0
723,0
724,0
725,0
726,0
727,1
728,1
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,1
742,1
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,1
751,0
752,0
753,1
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,0
762,1
763,1
764,1
765,1
766,0
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,0
776,0
777,0
778,1
779,1
780,1
781,1
782,0
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,0
791,1
792,0
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,0
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,0
812,1
813,0
814,0
815,0
816,1
817,1
818,1
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,1
827,0
828,1
829,1
830,0
831,1
832,0
833,0
834,1
835,1
836,1
837,0
838,1
839,1
840,1
841,0
842,1
843,0
844,1
